"id_estado","id_municipio","setor","ano","renda","escolaridade","populacao","ano_fe","mun_fe","y"
1,1001,"ServiC'os",2011,55.9,8.9,117002,-1.27952209301293,11.0151960369898,9.80400642849251
1,1001,"ServiC'os",2012,60,8.8,117510,-2.43054942879826,11.0151960369898,11.1458615073989
1,1001,"ServiC'os",2013,65,8.8,117754,-3.53594826115295,11.0151960369898,5.57830154799843
1,1001,"ServiC'os",2014,81,8.9,118655,-4.44299528514966,11.0151960369898,4.96790419983767
1,1001,"ServiC'os",2015,78,8.9,119788,-5.20161680877209,11.0151960369898,4.74832078399178
1,1001,"ServiC'os",2016,77,9,120792,-6.11933600041084,11.0151960369898,5.56425594420379
1,1001,"ServiC'os",2017,87,9.1,120926,-8.25098422833253,11.0151960369898,2.40204998553063
1,1001,"ServiC'os",2018,112,9,121833,-11.3078198740259,11.0151960369898,-3.50262697341785
1,1001,"ServiC'os",2019,128,9,122985,-12.9832603518153,11.0151960369898,-2.33804742839159
1,1001,"ServiC'os",2020,167,9.2,123456,-10.4256541864015,11.0151960369898,-0.0907882722157437
1,1002,"ServiC'os",2011,39.4,8.9,72279,-1.1384222547058,11.478760464536,9.31782533479831
1,1002,"ServiC'os",2012,36,9,72603,-2.0066499649547,11.478760464536,7.44439140794335
1,1002,"ServiC'os",2013,35,9,72739,-3.7923030682141,11.478760464536,7.79716379072975
1,1002,"ServiC'os",2014,29,9.1,73183,-5.48251728713512,11.478760464536,4.36084118626908
1,1002,"ServiC'os",2015,23,9.1,73714,-5.83841618616134,11.478760464536,6.4477600242951
1,1002,"ServiC'os",2016,25,9.1,74349,-6.41677086171694,11.478760464536,2.02766862018311
1,1002,"ServiC'os",2017,28,9.3,74426,-9.81192580843344,11.478760464536,0.251496756353013
1,1002,"ServiC'os",2018,25,9.3,74954,-10.8541811322793,11.478760464536,1.95596347954162
1,1002,"ServiC'os",2019,20,9.3,75244,-13.4455175738549,11.478760464536,-0.433941289578584
1,1002,"ServiC'os",2020,16,9.4,75371,-11.2351908464916,11.478760464536,0.486207311321344
1,1003,"Industria",2011,23.3,10.2,270603,-1.19643363589421,11.3321943837916,6.92543213471141
