"id_estado","id_municipio","setor","ano","renda","escolaridade","populacao","y","d","G","Tt","d_x_t"
1,1001,"ServiC'os",2011,55.9,8.9,117002,9.80400642849251,0,0,0,0
1,1001,"ServiC'os",2012,60,8.8,117510,11.1458615073989,0,0,1,0
1,1001,"ServiC'os",2013,65,8.8,117754,5.57830154799843,0,0,1,0
1,1001,"ServiC'os",2014,81,8.9,118655,4.96790419983767,0,0,1,0
1,1001,"ServiC'os",2015,78,8.9,119788,4.74832078399178,0,0,1,0
1,1001,"ServiC'os",2016,77,9,120792,5.56425594420379,0,0,1,0
1,1001,"ServiC'os",2017,87,9.1,120926,2.40204998553063,0,0,1,0
1,1001,"ServiC'os",2018,112,9,121833,-3.50262697341785,0,0,1,0
1,1001,"ServiC'os",2019,128,9,122985,-2.33804742839159,0,0,1,0
1,1001,"ServiC'os",2020,167,9.2,123456,-0.0907882722157437,0,0,1,0
1,1002,"ServiC'os",2011,39.4,8.9,72279,15.0572055670663,1,2018,0,0
1,1002,"ServiC'os",2012,36,9,72603,13.1837716402114,1,2018,1,0
1,1002,"ServiC'os",2013,35,9,72739,13.5365440229978,1,2018,1,0
1,1002,"ServiC'os",2014,29,9.1,73183,10.1002214185371,1,2018,1,0
1,1002,"ServiC'os",2015,23,9.1,73714,12.1871402565631,1,2018,1,0
1,1002,"ServiC'os",2016,25,9.1,74349,7.76704885245111,1,2018,1,0
1,1002,"ServiC'os",2017,28,9.3,74426,5.99087698862101,1,2018,1,0
1,1002,"ServiC'os",2018,25,9.3,74954,7.49534371180962,1,2018,1,1
1,1002,"ServiC'os",2019,20,9.3,75244,4.90543894268942,1,2018,1,1
1,1002,"ServiC'os",2020,16,9.4,75371,5.62558754358934,1,2018,1,1
1,1003,"Industria",2011,23.3,10.2,270603,6.92543213471141,0,0,0,0
1,1003,"Industria",2012,30,10.3,270944,7.64467317620597,0,0,1,0
1,1003,"Industria",2013,39,10.2,272564,7.76160820250933,0,0,1,0
1,1003,"Industria",2014,50,10.1,275039,8.26177665604083,0,0,1,0
1,1003,"Industria",2015,67,10.1,276630,4.79756626248422,0,0,1,0
1,1003,"Industria",2016,57,10.2,279063,1.85682239630472,0,0,1,0
1,1003,"Industria",2017,53,10,280873,4.08996627855169,0,0,1,0
1,1003,"Industria",2018,46,10.1,282440,-1.08906691404775,0,0,1,0
1,1003,"Industria",2019,52,10.2,283531,-0.797575953693272,0,0,1,0
1,1003,"Industria",2020,66,10.2,286266,-1.53132681587328,0,0,1,0
1,1004,"Industria",2011,58.1,9.9,171099,10.7457261427462,0,0,0,0
1,1004,"Industria",2012,77,10,172290,10.6052957360077,0,0,1,0
1,1004,"Industria",2013,94,10.1,173501,7.45259259865087,0,0,1,0
1,1004,"Industria",2014,97,10,174314,5.44856562512959,0,0,1,0
1,1004,"Industria",2015,99,10.1,174558,2.03798114808225,0,0,1,0
1,1004,"Industria",2016,106,10,174894,2.80549489925915,0,0,1,0
1,1004,"Industria",2017,98,9.9,176224,3.27822712918257,0,0,1,0
1,1004,"Industria",2018,125,9.9,177064,-1.07715582353547,0,0,1,0
1,1004,"Industria",2019,128,9.9,178666,1.88553111698938,0,0,1,0
1,1004,"Industria",2020,144,9.9,179513,-0.548345500844105,0,0,1,0
1,1005,"ServiC'os",2011,64.4,9.6,117074,16.5573974141186,1,2016,0,0
1,1005,"ServiC'os",2012,89,9.7,117995,15.3637563546968,1,2016,1,0
1,1005,"ServiC'os",2013,101,9.9,118840,13.0559120210072,1,2016,1,0
1,1005,"ServiC'os",2014,127,10,119973,11.0317650466272,1,2016,1,0
1,1005,"ServiC'os",2015,176,10.1,121153,10.6333861012223,1,2016,1,0
1,1005,"ServiC'os",2016,231,10.1,121379,9.72843823542402,1,2016,1,1
1,1005,"ServiC'os",2017,237,10.1,122221,8.859369161569,1,2016,1,1
1,1005,"ServiC'os",2018,269,10.1,122521,8.3700866412378,1,2016,1,1
1,1005,"ServiC'os",2019,364,10.3,123181,4.84616943212759,1,2016,1,1
1,1005,"ServiC'os",2020,405,10.3,123424,4.91004040004824,1,2016,1,1
1,1006,"ServiC'os",2011,94.6,9.6,233261,10.5230672055436,0,0,0,0
1,1006,"ServiC'os",2012,86,9.6,235112,7.29247688266114,0,0,1,0
1,1006,"ServiC'os",2013,76,9.5,236830,8.14648103912395,0,0,1,0
1,1006,"ServiC'os",2014,70,9.5,238431,5.94795706427025,0,0,1,0
1,1006,"ServiC'os",2015,77,9.5,238876,3.89100226291451,0,0,1,0
1,1006,"ServiC'os",2016,79,9.6,240231,2.60894510337823,0,0,1,0
1,1006,"ServiC'os",2017,63,9.6,240937,5.6164154844431,0,0,1,0
1,1006,"ServiC'os",2018,83,9.8,242154,2.55884887229999,0,0,1,0
1,1006,"ServiC'os",2019,113,9.8,244037,-0.917435635133843,0,0,1,0
1,1006,"ServiC'os",2020,124,9.8,244632,0.300296753193128,0,0,1,0
1,1007,"Industria",2011,47.8,8.4,41573,8.75157275835492,0,0,0,0
1,1007,"Industria",2012,39,8.4,41925,9.75205016594092,0,0,1,0
1,1007,"Industria",2013,36,8.4,42092,8.05570420924618,0,0,1,0
1,1007,"Industria",2014,39,8.4,42250,7.20878168616035,0,0,1,0
1,1007,"Industria",2015,47,8.5,42559,4.61881285510686,0,0,1,0
1,1007,"Industria",2016,64,8.6,42937,1.62996932159175,0,0,1,0
1,1007,"Industria",2017,59,8.6,43161,2.98362995024487,0,0,1,0
1,1007,"Industria",2018,54,8.6,43434,-0.612742739314882,0,0,1,0
1,1007,"Industria",2019,56,8.6,43717,-0.99530451704484,0,0,1,0
1,1007,"Industria",2020,62,8.8,44108,0.86480209090905,0,0,1,0
1,1008,"Agricultura",2011,58.5,7.6,34239,11.1090212370454,0,0,0,0
1,1008,"Agricultura",2012,78,7.7,34540,10.5741709394341,0,0,1,0
1,1008,"Agricultura",2013,79,7.7,34693,8.02513539333454,0,0,1,0
1,1008,"Agricultura",2014,107,7.6,34729,8.10434809536224,0,0,1,0
1,1008,"Agricultura",2015,99,7.6,35057,3.52358609254166,0,0,1,0
1,1008,"Agricultura",2016,91,7.6,35237,5.37060631116115,0,0,1,0
1,1008,"Agricultura",2017,88,7.6,35344,1.5237189881574,0,0,1,0
1,1008,"Agricultura",2018,108,7.6,35627,-0.654098590084284,0,0,1,0
1,1008,"Agricultura",2019,148,7.6,35759,-2.10971918439435,0,0,1,0
1,1008,"Agricultura",2020,126,7.7,36077,-1.2798392394134,0,0,1,0
1,1009,"Agricultura",2011,26.8,7.6,123931,9.80293097140092,0,0,0,0
1,1009,"Agricultura",2012,27,7.6,124743,10.7522216031231,0,0,1,0
1,1009,"Agricultura",2013,32,7.4,124927,9.23636494876014,0,0,1,0
1,1009,"Agricultura",2014,40,7.4,125114,6.46525969057204,0,0,1,0
1,1009,"Agricultura",2015,43,7.6,125860,6.53440984316854,0,0,1,0
1,1009,"Agricultura",2016,36,7.6,126109,3.01880274556901,0,0,1,0
1,1009,"Agricultura",2017,29,7.6,126937,0.348559973872657,0,0,1,0
1,1009,"Agricultura",2018,36,7.8,127976,2.52918704735949,0,0,1,0
1,1009,"Agricultura",2019,30,7.7,128938,-0.268956025502222,0,0,1,0
1,1009,"Agricultura",2020,40,7.7,130149,-2.82655522335869,0,0,1,0
1,1010,"Agricultura",2011,75.6,8,34834,11.3070024133025,0,0,0,0
1,1010,"Agricultura",2012,69,8.1,35127,8.7419152549216,0,0,1,0
1,1010,"Agricultura",2013,61,8.3,35441,8.28899994198277,0,0,1,0
1,1010,"Agricultura",2014,79,8.1,35747,6.88076280010357,0,0,1,0
1,1010,"Agricultura",2015,108,8.1,35958,4.40029620185221,0,0,1,0
